iter	Logloss
0	0.6911259374
1	0.6894823706
2	0.6878600544
3	0.6861495635
4	0.6845930783
5	0.6830744397
6	0.6814492201
7	0.679990147
8	0.6788561781
9	0.6778110867
10	0.6766720347
11	0.6756371195
12	0.6746912195
13	0.6735802753
14	0.6726115291
15	0.6717699692
16	0.6709437616
17	0.6703055709
18	0.669605532
19	0.6688919239
20	0.6683132844
21	0.6676036885
22	0.6670732123
23	0.6664295991
24	0.6658312913
25	0.6651569703
26	0.6645894113
27	0.6639850831
28	0.6633753221
29	0.6628750898
30	0.6623246161
31	0.6618061538
32	0.6613524541
33	0.6608674705
34	0.6603792703
35	0.6599325886
36	0.6594031389
37	0.6589717249
38	0.6584963451
39	0.6580099238
40	0.6576866164
41	0.6572962683
42	0.6568347249
43	0.6563486965
44	0.6558520689
45	0.6554641695
46	0.6551190626
47	0.6546853069
48	0.6543833791
49	0.6539567589
50	0.6535767431
51	0.6532446494
52	0.6529264032
53	0.6525393157
54	0.6523145231
55	0.6519807044
56	0.6517073011
57	0.651376344
58	0.6511135821
59	0.6507616077
60	0.6504175786
61	0.6500915776
62	0.6497404798
63	0.6494126421
64	0.6491316234
65	0.6488141442
66	0.6484529059
67	0.6481438023
68	0.6478457786
69	0.6475555749
70	0.6473425408
71	0.6470622215
72	0.6468154555
73	0.6465520543
74	0.6462908672
75	0.6460415282
76	0.6457783315
77	0.645547413
78	0.6452896394
79	0.6451213919
80	0.6448530825
81	0.6446237328
82	0.6443583748
83	0.6441435542
84	0.6438919454
85	0.6436807429
86	0.6434325026
87	0.6431581106
88	0.6429688245
89	0.6427239604
90	0.6425063714
91	0.6422752373
92	0.6421167611
93	0.6419180932
94	0.6417170761
95	0.6414486265
96	0.6412835385
97	0.6410659691
98	0.6408906108
99	0.6406851208
100	0.640473608
101	0.64020101
102	0.6399389099
103	0.6397037784
104	0.6394974072
105	0.639271703
106	0.6390441661
107	0.6387939482
108	0.6386801983
109	0.6384760491
110	0.6382522078
111	0.6380742056
112	0.6378702625
113	0.6376574144
114	0.6374770569
115	0.6373361945
116	0.6371542845
117	0.6369411587
118	0.6367923509
119	0.636598418
120	0.6363775688
121	0.636108376
122	0.6359425993
123	0.6357294094
124	0.6355559179
125	0.6353448777
126	0.635168107
127	0.63501004
128	0.634833041
129	0.634674882
130	0.6345047958
131	0.6343085067
132	0.6340923594
133	0.6339000095
134	0.6337454215
135	0.6335793639
136	0.6334000972
137	0.6331752073
138	0.6330041525
139	0.6328574755
140	0.632735853
141	0.6325891613
142	0.6323901364
143	0.6322491997
144	0.6320792402
145	0.6319235079
146	0.6317660193
147	0.6316403962
148	0.6314672771
149	0.6312971428
150	0.6311192647
151	0.6309702816
152	0.6308263213
153	0.6306629194
154	0.630558503
155	0.6304197574
156	0.6302813195
157	0.6301236925
158	0.6300023626
159	0.6298198706
160	0.629654212
161	0.6294707361
162	0.629324558
163	0.6292132354
164	0.6290345232
165	0.6289355799
166	0.6287426238
167	0.6285594999
168	0.628417942
169	0.6283052451
170	0.6281540544
171	0.6280244442
172	0.6279055889
173	0.6277608921
174	0.6276052461
175	0.6274688156
176	0.627309857
177	0.6271791778
178	0.627057616
179	0.6269304748
180	0.6268065639
181	0.6266291378
182	0.6265057191
183	0.626344742
184	0.6261289361
185	0.6260058182
186	0.6258851219
187	0.6257832661
188	0.6256562794
189	0.6255052318
190	0.625357936
191	0.6252392333
192	0.6250708827
193	0.6249105721
194	0.6247854293
195	0.6246439694
196	0.6245052463
197	0.6243755471
198	0.6242523507
199	0.6240720187
200	0.6239328876
201	0.6237816482
202	0.6236470072
203	0.6235144488
204	0.6233421953
205	0.623212082
206	0.623028345
207	0.6229163037
208	0.6228031759
209	0.6226232988
210	0.6224699763
211	0.6223411759
212	0.6222238176
213	0.6220973983
214	0.6218427994
215	0.621675472
216	0.6215411254
217	0.6213745738
218	0.6212735683
219	0.6211247041
220	0.6210177352
221	0.6208899024
222	0.6207852062
223	0.6206739866
224	0.6205446573
225	0.620368406
226	0.6202271836
227	0.6200764463
228	0.6199465974
229	0.619777291
230	0.6196234167
231	0.6194141155
232	0.6192379896
233	0.6190769289
234	0.6189448977
235	0.6187639739
236	0.6185855648
237	0.6184184579
238	0.6182826442
239	0.6181290136
240	0.6180170182
241	0.6178780519
242	0.6177466697
243	0.6175763225
244	0.6174474722
245	0.6173022089
246	0.61709362
247	0.6169927498
248	0.6168357652
249	0.6166983556
250	0.6165578478
251	0.6163703601
252	0.6161926788
253	0.6160087931
254	0.6158843549
255	0.615750315
256	0.615589528
257	0.6154650855
258	0.6153012064
259	0.6151599272
260	0.6149660816
261	0.6148302208
262	0.6146985945
263	0.614528447
264	0.6143325675
265	0.6141466601
266	0.6139937505
267	0.6138482952
268	0.6137106056
269	0.6135249951
270	0.6133964602
271	0.6132192023
272	0.6130279646
273	0.6129050479
274	0.6127465548
275	0.6125994979
276	0.6124602743
277	0.6123251325
278	0.6122041303
279	0.6120527681
280	0.6119331401
281	0.611697119
282	0.6115588252
283	0.6114103788
284	0.6112541568
285	0.6110477898
286	0.6108935647
287	0.6107860799
288	0.6105891841
289	0.6104628163
290	0.6102943811
291	0.6101685442
292	0.6100085978
293	0.6098360343
294	0.6097056815
295	0.6095735903
296	0.6094133283
297	0.6092361705
298	0.6090373501
299	0.6089012502
300	0.6087705922
301	0.6086355503
302	0.6085158272
303	0.6083484368
304	0.6082073186
305	0.6080108706
306	0.6078953772
307	0.6077486057
308	0.6076272205
309	0.6074960475
310	0.607353717
311	0.6072245538
312	0.607025668
313	0.6068536904
314	0.6066967387
315	0.6064786779
316	0.6063341209
317	0.6062115299
318	0.60606141
319	0.6059091079
320	0.605794927
321	0.6056746526
322	0.6055488463
323	0.6054197336
324	0.6052835062
325	0.6051379691
326	0.6049722811
327	0.6048261824
328	0.6046966888
329	0.6046021365
330	0.6044616773
331	0.6043518737
332	0.6042406152
333	0.6041033164
334	0.6039795372
335	0.603836971
336	0.6036944449
337	0.6035398974
338	0.6033991276
339	0.6032901147
340	0.603145747
341	0.6030397957
342	0.6029068952
343	0.602776801
344	0.6026535036
345	0.6025730237
346	0.602448107
347	0.6023265757
348	0.6021882732
349	0.6020596714
350	0.6019794532
351	0.6018695101
352	0.6017536762
353	0.6016486847
354	0.601498835
355	0.6013911825
356	0.6012808401
357	0.601174949
358	0.6010053257
359	0.6009042065
360	0.6007792032
361	0.6006759964
362	0.6005641371
363	0.6004515993
364	0.6003390438
365	0.6002215653
366	0.6000883908
367	0.6000072227
368	0.5998748266
369	0.5997811191
370	0.5996888702
371	0.5995829877
372	0.5994551694
373	0.5993101908
374	0.5991639723
375	0.5990626807
376	0.5989450038
377	0.5988192885
378	0.5987090173
379	0.5986056052
380	0.5984951166
381	0.5983429775
382	0.5982554401
383	0.5981299987
384	0.5979988637
385	0.5979045172
386	0.5978002231
387	0.5976716618
388	0.5975695068
389	0.5974112079
390	0.5972872238
391	0.5971955831
392	0.59711863
393	0.5970360703
394	0.5969012763
395	0.5968104976
396	0.5967056057
397	0.5965953657
398	0.5965105491
399	0.5964098729
400	0.5963106403
401	0.5961572268
402	0.5960440585
403	0.595912926
404	0.5957740864
405	0.5956822003
406	0.5955699885
407	0.59542523
408	0.5952942971
409	0.5952184079
410	0.5950927155
411	0.5950060937
412	0.5949334016
413	0.5948355045
414	0.5947030612
415	0.5945897132
416	0.5944963218
417	0.5944192265
418	0.5943186941
419	0.5942214061
420	0.5940981752
421	0.5939934602
422	0.5938770153
423	0.5937528646
424	0.5936523014
425	0.5935473363
426	0.5934595786
427	0.5933614009
428	0.5932776164
429	0.5931723368
430	0.5930597234
431	0.5929593635
432	0.5928788826
433	0.5927847267
434	0.5926752099
435	0.5926105397
436	0.592535571
437	0.5924527609
438	0.5923535525
439	0.5922261732
440	0.5921355578
441	0.5920473282
442	0.5919406666
443	0.5918533818
444	0.5917506851
445	0.5916572879
446	0.5915558597
447	0.5914468174
448	0.5913480827
449	0.5912625813
450	0.5911732024
451	0.5910896138
452	0.5909840409
453	0.5909034455
454	0.590832977
455	0.5906976334
456	0.5905875382
457	0.5904619613
458	0.5903664922
459	0.5902891709
460	0.5902175727
461	0.5901437953
462	0.590070608
463	0.589946607
464	0.5898414672
465	0.5897506488
466	0.589662657
467	0.5895244372
468	0.5894441712
469	0.589313562
470	0.5892493892
471	0.5891446293
472	0.5890722789
473	0.5889580998
474	0.5888521779
475	0.5887778784
476	0.5886520162
477	0.588581138
478	0.5884894506
479	0.5883854633
480	0.5883000705
481	0.5881999342
482	0.5881151833
483	0.5880002969
484	0.5879334189
485	0.587849433
486	0.5877733217
487	0.5876522037
488	0.5875773862
489	0.5874954131
490	0.5874239481
491	0.5873407947
492	0.5872418459
493	0.5871630765
494	0.5870836352
495	0.587018005
496	0.5869156223
497	0.5868561871
498	0.5867786542
499	0.5866844345
500	0.5865649891
501	0.5864426118
502	0.5863660329
503	0.5862746897
504	0.5861936574
505	0.5860580991
506	0.5859938842
507	0.585918024
508	0.5858337204
509	0.5857617269
510	0.5856535295
511	0.5855734483
512	0.5855051745
513	0.5854283127
514	0.5853451591
515	0.5852578945
516	0.5851706569
517	0.5851024413
518	0.5850219527
519	0.5849418438
520	0.5848695554
521	0.5847575949
522	0.5846833511
523	0.5846042427
524	0.5845414283
525	0.5844476881
526	0.5843586722
527	0.5842500299
528	0.5841416184
529	0.5840599916
530	0.5839661501
531	0.5838794013
532	0.5838119008
533	0.5837534964
534	0.583697354
535	0.5836305087
536	0.5835306646
537	0.5834471859
538	0.5833154721
539	0.583248543
540	0.5831135464
541	0.5830231118
542	0.58289411
543	0.5828383851
544	0.5827634545
545	0.5826657448
546	0.5826029423
547	0.5825126318
548	0.5824174636
549	0.5823343203
550	0.5822635967
551	0.5821750546
552	0.5820968211
553	0.5820407435
554	0.5819349407
555	0.5818455941
556	0.5817782865
557	0.5817106741
558	0.5816200575
559	0.5815598472
560	0.581479948
561	0.5813974151
562	0.5813473633
563	0.5812649406
564	0.581177236
565	0.581107135
566	0.5810066933
567	0.5809281346
