iter	Passed	Remaining
0	232	231837
1	325	162242
2	414	137604
3	504	125514
4	596	118735
5	683	113251
6	764	108387
7	842	104490
8	931	102558
9	1017	100736
10	1094	98441
11	1171	96439
12	1252	95076
13	1331	93773
14	1410	92634
15	1495	91977
16	1586	91750
17	1677	91543
18	1771	91473
19	1857	91016
20	1949	90863
21	2044	90908
22	2124	90227
23	2231	90746
24	2320	90498
25	2404	90090
26	2491	89778
27	2576	89447
28	2665	89233
29	2746	88815
30	2825	88335
31	2902	87808
32	2981	87357
33	3063	87027
34	3143	86665
35	3220	86230
36	3296	85800
37	3380	85572
38	3462	85309
39	3545	85099
40	3637	85075
41	3720	84869
42	3816	84946
43	3899	84734
44	3984	84552
45	4066	84343
46	4151	84173
47	4232	83950
48	4312	83702
49	4394	83486
50	4472	83226
51	4551	82979
52	4633	82783
53	4718	82659
54	4797	82434
55	4881	82288
56	4960	82062
57	5050	82028
58	5129	81803
59	5207	81579
60	5283	81334
61	5362	81135
62	5438	80890
63	5518	80711
64	5598	80531
65	5676	80331
66	5762	80249
67	5842	80081
68	5916	79831
69	5996	79668
70	6075	79491
71	6152	79303
72	6229	79106
73	6306	78914
74	6405	79002
75	6503	79067
76	6593	79037
77	6679	78953
78	6769	78921
79	6855	78838
80	6934	78681
81	7011	78497
82	7086	78290
83	7159	78075
84	7233	77863
85	7309	77680
86	7384	77493
87	7461	77328
88	7537	77154
89	7616	77013
90	7698	76902
91	7778	76767
92	7860	76663
93	7940	76530
94	8021	76411
95	8097	76250
96	8179	76141
97	8256	75997
98	8336	75873
99	8418	75770
100	8499	75656
101	8575	75498
102	8649	75328
103	8722	75145
104	8802	75031
105	8887	74959
106	8973	74890
107	9060	74833
108	9146	74766
109	9252	74863
110	9353	74912
111	9440	74849
112	9530	74808
113	9624	74803
114	9700	74652
115	9775	74498
116	9857	74391
117	9940	74302
118	10020	74187
119	10099	74061
120	10173	73908
121	10248	73753
122	10322	73598
123	10405	73510
124	10487	73414
125	10568	73307
126	10645	73175
127	10725	73067
128	10800	72923
129	10879	72808
130	10957	72688
131	11032	72549
132	11115	72459
133	11192	72330
134	11272	72227
135	11355	72138
136	11433	72021
137	11511	71902
138	11594	71818
139	11674	71714
140	11751	71593
141	11830	71480
142	11906	71354
143	11982	71226
144	12059	71108
145	12141	71021
146	12221	70917
147	12302	70823
148	12377	70691
149	12453	70571
150	12530	70454
151	12604	70318
152	12678	70187
153	12753	70060
154	12828	69934
155	12903	69813
156	12979	69690
157	13056	69581
158	13131	69458
159	13204	69323
160	13279	69202
161	13358	69100
162	13430	68963
163	13504	68839
164	13578	68715
165	13651	68585
166	13724	68458
167	13799	68340
168	13872	68213
169	13947	68096
170	14025	67995
171	14100	67876
172	14174	67756
173	14249	67642
174	14322	67521
175	14396	67402
176	14470	67281
177	14545	67170
178	14620	67056
179	14695	66944
180	14784	66898
181	14864	66809
182	14943	66714
183	15042	66712
184	15126	66638
185	15209	66563
186	15289	66473
187	15371	66392
188	15452	66305
189	15528	66202
190	15601	66081
